City,restaurant_count,avg_rating,avg_price_range,total_votes
New Delhi,4048,3.3,1.77,627090
Gurgaon,890,3.33,2.0,131978
Noida,696,3.16,1.77,73148
Faridabad,151,3.1,1.56,6406
Ghaziabad,23,3.1,1.87,2365
Bhubaneshwar,21,3.98,1.86,4243
Lucknow,21,4.2,2.57,9130
Guwahati,21,4.19,2.52,4964
Ahmedabad,21,4.16,2.57,12266
Amritsar,21,3.69,1.81,3665
Abu Dhabi,20,4.3,3.3,6045
Albany,20,3.56,1.7,1676
Agra,20,3.96,2.65,2062
Kanpur,20,3.82,2.7,1898
Mangalore,20,3.74,2.5,4367
Augusta,20,4.13,2.15,7909
Aurangabad,20,3.38,2.2,1296
Auckland,20,4.28,3.05,6795
Athens,20,4.2,1.6,12750
Ankara,20,4.3,2.8,2627
Allahabad,20,3.4,2.65,1392
Dalton,20,4.11,1.4,2561
Doha,20,4.06,3.65,3276
Dehradun,20,4.05,3.05,2430
Des Moines,20,4.24,2.15,11092
Cedar Rapids/Iowa City,20,4.16,2.05,6646
Chennai,20,4.31,2.45,27695
Boise,20,4.26,2.05,10381
Bangalore,20,4.38,2.7,56115
Dubuque,20,3.54,1.9,2021
Dubai,20,4.37,3.05,18693
Kolkata,20,4.26,2.85,44593
Kochi,20,4.08,2.05,7199
Manchester,20,4.04,2.7,4076
Macon,20,4.12,2.05,5272
Ludhiana,20,3.98,2.65,2861
London,20,4.54,3.0,8724
Gainesville,20,4.04,1.75,4408
Jaipur,20,4.13,2.85,11048
Indore,20,3.97,2.75,4777
Goa,20,4.24,3.65,15098
Colombo,20,3.87,2.85,2929
Columbus,20,4.03,2.15,5387
Cape Town,20,4.11,3.2,5415
Bhopal,20,3.95,2.15,2877
Rest of Hawaii,20,4.41,2.35,15055
Savannah,20,4.15,2.35,15377
Singapore,20,3.58,3.65,638
Pensacola,20,4.2,2.35,16890
Puducherry,20,3.73,3.0,6848
Pune,20,4.22,2.95,20732
Surat,20,3.94,2.65,3667
Tampa Bay,20,4.41,2.55,27407
Vizag,20,4.0,2.35,3277
Varanasi,20,3.51,2.45,1729
Wellington City,20,4.25,3.25,2926
Waterloo,20,3.65,1.75,2083
Valdosta,20,3.72,2.25,4200
Sioux City,20,3.76,1.9,3156
Sharjah,20,4.03,3.3,4873
Vadodara,20,4.03,2.6,3720
Patna,20,3.45,2.45,1520
Orlando,20,4.47,2.9,23989
Nashik,20,3.52,2.8,2095
Mysore,20,3.7,2.45,4258
Nagpur,20,3.96,2.3,3456
Mumbai,20,4.08,2.75,29697
Ranchi,20,3.45,2.05,1807
Pretoria,20,4.19,3.7,3126
Coimbatore,20,4.14,2.4,4219
Edinburgh,20,4.09,2.9,2246
Pocatello,19,3.67,1.79,2606
Rio de Janeiro,19,4.49,3.53,400
Bras�_lia,19,3.68,3.21,215
Birmingham,19,3.87,2.42,1390
Chandigarh,18,4.05,2.5,10343
Davenport,18,4.13,2.0,3017
Hyderabad,18,4.34,2.89,24135
S��o Paulo,17,4.15,3.82,555
Jakarta,16,4.36,3.0,11883
��stanbul,14,4.29,2.86,12043
Sandton,11,4.3,3.82,5410
Johannesburg,6,4.2,4.0,3706
Mandaluyong City,4,4.62,3.75,1200
Taguig City,4,4.53,3.5,1663
Pasay City,3,4.37,4.0,1818
Pasig City,3,4.63,3.0,2090
Bogor,2,3.85,2.5,1942
Inner City,2,4.9,4.0,635
Secunderabad,2,4.5,2.0,1902
Tangerang,2,4.3,3.0,2367
Santa Rosa,2,3.8,3.0,101
San Juan City,2,4.25,3.0,681
Hepburn Springs,2,3.8,1.5,285
Makati City,2,4.65,3.0,905
Balingup,1,3.2,2.0,21
Armidale,1,3.5,2.0,25
Cochrane,1,3.1,2.0,6
Beechworth,1,4.6,2.0,237
Huskisson,1,4.1,2.0,40
Inverloch,1,3.7,1.0,100
Forrest,1,3.7,2.0,29
Clatskanie,1,4.3,1.0,96
Chatham-Kent,1,3.7,2.0,176
Bandung,1,4.2,3.0,22
Consort,1,3.0,2.0,6
Dicky Beach,1,3.6,1.0,29
East Ballina,1,4.1,2.0,56
Fernley,1,3.7,1.0,83
Macedon,1,3.5,2.0,31
Lakeview,1,3.6,1.0,41
Lincoln,1,4.5,2.0,799
Lorn,1,3.6,2.0,18
Lakes Entrance,1,3.8,1.0,97
Flaxton,1,3.5,3.0,37
Penola,1,3.4,2.0,19
Mayfield,1,2.9,2.0,11
Montville,1,2.4,3.0,193
Monroe,1,3.6,2.0,65
Mohali,1,4.3,2.0,99
Miller,1,3.4,1.0,11
Mc Millan,1,2.4,1.0,17
Middleton Beach,1,3.8,3.0,176
Ojo Caliente,1,3.6,3.0,30
Palm Cove,1,4.4,3.0,381
Quezon City,1,4.8,3.0,294
Princeton,1,4.0,4.0,542
Potrero,1,3.3,2.0,9
Phillip Island,1,3.7,2.0,351
Panchkula,1,4.2,4.0,843
Paynesville,1,2.6,4.0,16
Tagaytay City,1,4.5,3.0,211
Randburg,1,4.3,3.0,618
Victor Harbor,1,3.6,2.0,96
Vernonia,1,4.3,1.0,88
Tanunda,1,4.4,3.0,339
Trentham East,1,4.1,2.0,87
Weirton,1,3.9,2.0,156
Vineland Station,1,4.3,4.0,204
Winchester Bay,1,3.2,2.0,16
Yorkton,1,3.3,2.0,26
